@id,label,type,notation,subOrganizationOf,subOrganizationOf.label,hasSubOrganization
http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-G,RIBBLE / DOUGLAS,http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,4-11-G,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,Cumbria and Lancashire,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-Y,UNKNOWN (CENTRAL),http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,1-1-Y,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,Cambridgeshire and Bedfordshire,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-S,BRAMPTON TEAM SUB AREA,http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,1-1-S,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,Cambridgeshire and Bedfordshire,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-O,ELY TEAM SUB AREA,http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,1-1-O,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,Cambridgeshire and Bedfordshire,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-A,ALL CENTRAL SUB AREAS,http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,1-1-A,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,Cambridgeshire and Bedfordshire,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-9,ECMAS SAMPLING (CENTRAL),http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,1-1-9,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,Cambridgeshire and Bedfordshire,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K,L&W WEST - SSD|L&W WEST HAMPSHIRE - SSD,http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,10-39-K,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,Solent and South Downs,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/6-28-Z,WESSEX DEFAULT,http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,6-28-Z,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/6-28,Wessex,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/6-28-A,ALL SUB AREAS,http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,6-28-A,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/6-28,Wessex,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/6-28-9,ECMAS SAMPLING (WESSEX),http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,6-28-9,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/6-28,Wessex,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/6-28-2,EAST WESSEX,http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,6-28-2,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/6-28,Wessex,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/6-28-1,WEST WESSEX,http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,6-28-1,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/6-28,Wessex,""
http://environment.data.gov.uk/water-quality/id/ea-subarea/1-2-9,ECMAS SAMPLING (EASTERN),http://environment.data.gov.uk/water-quality/def/ea-org/SubArea|http://www.w3.org/ns/org#Organization,1-2-9,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-2,Essex Norfolk and Suffolk,""
