@id,label,type,sameAs,notation,group,group.label
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WL,WASTE SITE - LEACHATE BOREHOLE,http://www.w3.org/2004/02/skos/core#Concept,"",WL,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WG,WASTE SITE - GAS BOREHOLE,http://www.w3.org/2004/02/skos/core#Concept,"",WG,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WM,WASTE SITE - GAS MULTILEVEL,http://www.w3.org/2004/02/skos/core#Concept,"",WM,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WZ,WASTE SITE - UNSPECIFIED,http://www.w3.org/2004/02/skos/core#Concept,"",WZ,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WC,WASTE SITE - DOMESTIC & INDUSTRIAL LANDFILL,http://www.w3.org/2004/02/skos/core#Concept,"",WC,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WS,WASTE SITE - LEACHATE SUMP,http://www.w3.org/2004/02/skos/core#Concept,"",WS,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WF,WASTE SITE - GAS & GROUNDWATER,http://www.w3.org/2004/02/skos/core#Concept,"",WF,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WD,WASTE SITE - SURFACE WATER MONITORING POINT - LANDFILL,http://www.w3.org/2004/02/skos/core#Concept,"",WD,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WE,WASTE SITE - EXTERNAL STANDING WATER (INC. PONDS & DITCHES),http://www.w3.org/2004/02/skos/core#Concept,"",WE,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WH,WASTE SITE - GAS & LEACHATE,http://www.w3.org/2004/02/skos/core#Concept,"",WH,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WW,WASTE SITE - LEACHATE WELL,http://www.w3.org/2004/02/skos/core#Concept,"",WW,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WO,WASTE SITE - AIR MONITORING,http://www.w3.org/2004/02/skos/core#Concept,"",WO,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WI,WASTE SITE - INTERNAL STANDING WATER,http://www.w3.org/2004/02/skos/core#Concept,"",WI,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WB,WASTE SITE - INDUSTRIAL LANDFILL,http://www.w3.org/2004/02/skos/core#Concept,"",WB,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WY,WASTE SITE - UNSPECIFIED BOREHOLE,http://www.w3.org/2004/02/skos/core#Concept,"",WY,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WV,WASTE SITE - GAS VENT,http://www.w3.org/2004/02/skos/core#Concept,"",WV,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/WJ,WASTE SITE - LEACHATE MANAGEMENT SYSTEM,http://www.w3.org/2004/02/skos/core#Concept,"",WJ,http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/W,WASTE SITE
